Mix,AI,CB,CE,CH,CS,CT,EC,MC,MM,MT,Total
G1,5,5,5,5,5,5,4,4,4,4,46
G2,5,5,5,5,5,5,4,4,4,4,46
G3,5,5,5,5,5,5,4,4,4,4,46
G4,5,5,5,5,5,5,4,4,4,4,46
G5,5,5,5,5,5,5,4,4,4,4,46
G6,5,5,5,5,5,5,4,4,4,4,46
G7,5,5,5,5,5,5,4,4,4,4,46
G8,5,5,5,5,5,5,4,4,4,4,46
G9,5,5,5,5,5,5,4,4,4,4,46
G10,0,5,6,5,5,5,5,5,5,5,46
G11,0,0,5,6,6,6,6,6,6,5,46
G12,0,0,0,7,7,7,7,6,6,6,46
G13,0,0,0,9,9,1,0,9,9,9,46
G14,0,0,0,10,9,0,0,9,9,9,46
G15,0,0,0,2,14,0,0,4,11,8,39

Uniform,AI,CB,CE,CH,CS,CT,EC,MC,MM,MT,Total
G1,0,0,0,0,46,0,0,0,0,0,46
G2,0,0,0,0,46,0,0,0,0,0,46
G3,0,0,0,0,3,0,43,0,0,0,46
G4,0,0,0,46,0,0,0,0,0,0,46
G5,0,0,0,38,0,0,8,0,0,0,46
G6,0,0,0,0,0,0,0,0,46,0,46
G7,7,0,0,0,0,0,3,0,36,0,46
G8,0,0,0,0,0,0,0,0,0,46,46
G9,0,14,0,0,0,0,0,0,0,32,46
G10,0,0,0,0,0,0,0,46,0,0,46
G11,0,17,0,0,0,0,0,29,0,0,46
G12,0,0,0,0,0,46,0,0,0,0,46
G13,2,19,0,0,0,18,0,0,0,0,39
G14,0,0,46,0,0,0,0,0,0,0,46
G15,36,0,10,0,0,0,0,0,0,0,46